transaction_month,state,category,age_bucket,amount_bucket,total_transactions,total_revenue,total_profit,avg_transaction_value,unique_customers
2014-09,New York,Office Supplies,35-44,Low (<50),3,78.47,36.49,26.16,3
2014-09,New York,Office Supplies,35-44,Medium (50-500),2,515.18,26.15,257.59,2
2014-09,New York,Office Supplies,45-59,Low (<50),3,69.99,22.11,23.33,3
2014-09,New York,Office Supplies,45-59,Medium (50-500),2,214.62,82.4,107.31,2
2014-09,New York,Office Supplies,60+,High (500-1500),2,1996.84,561.27,998.42,2
2014-09,New York,Office Supplies,60+,Low (<50),5,105.26,43.72,21.05,5
2014-09,New York,Office Supplies,60+,Medium (50-500),2,145.98,69.48,72.99,2
2014-09,New York,Technology,18-24,Medium (50-500),1,357.0,57.12,357.0,1
2014-09,New York,Technology,35-44,Medium (50-500),1,377.97,109.61,377.97,1
2014-09,New York,Technology,45-59,High (500-1500),2,1979.86,818.94,989.93,1
2014-09,New York,Technology,45-59,Medium (50-500),1,69.99,30.1,69.99,1
2014-09,New York,Technology,60+,Low (<50),1,16.99,4.42,16.99,1
2014-09,New York,Technology,60+,Medium (50-500),1,287.97,80.63,287.97,1
2014-09,New York,Technology,60+,Very High (1500+),1,2799.96,1371.98,2799.96,1
2014-09,North Carolina,Office Supplies,45-59,Low (<50),2,21.06,7.37,10.53,2
2014-09,North Carolina,Office Supplies,45-59,Medium (50-500),2,263.1,50.05,131.55,2
2014-09,North Carolina,Office Supplies,60+,Low (<50),2,23.27,-10.76,11.64,2
2014-09,North Carolina,Office Supplies,60+,Medium (50-500),1,67.34,7.58,67.34,1
2014-09,North Carolina,Technology,25-34,High (500-1500),1,1299.99,-572.0,1299.99,1
2014-09,North Carolina,Technology,45-59,Low (<50),1,15.22,2.28,15.22,1
2014-09,North Carolina,Technology,60+,Low (<50),1,47.98,13.2,47.98,1
2014-09,North Carolina,Technology,60+,Very High (1500+),1,2624.98,-944.99,2624.98,1
2014-09,Ohio,Furniture,60+,Medium (50-500),1,60.67,12.89,60.67,1
2014-09,Ohio,Office Supplies,18-24,Low (<50),1,2.5,-2.0,2.5,1
2014-09,Ohio,Office Supplies,25-34,Medium (50-500),2,328.24,-27.05,164.12,2
2014-09,Ohio,Office Supplies,35-44,High (500-1500),1,795.41,59.66,795.41,1
2014-09,Ohio,Office Supplies,60+,Low (<50),4,109.22,25.13,27.3,3
2014-09,Ohio,Technology,60+,Low (<50),1,3.15,0.47,3.15,1
2014-09,Oklahoma,Furniture,45-59,High (500-1500),1,821.88,213.69,821.88,1
2014-09,Oklahoma,Furniture,45-59,Medium (50-500),3,649.55,180.78,216.52,2
2014-09,Oklahoma,Office Supplies,45-59,Low (<50),4,107.69,47.49,26.92,2
2014-09,Oklahoma,Technology,45-59,Medium (50-500),1,104.85,28.31,104.85,1
2014-09,Oregon,Furniture,60+,High (500-1500),1,1487.04,148.7,1487.04,1
2014-09,Oregon,Office Supplies,45-59,Low (<50),3,83.74,18.32,27.91,1
2014-09,Oregon,Office Supplies,45-59,Medium (50-500),1,148.7,46.47,148.7,1
2014-09,Oregon,Office Supplies,60+,Low (<50),1,21.73,7.6,21.73,1
2014-09,Oregon,Technology,45-59,Low (<50),1,29.92,-21.94,29.92,1
2014-09,Oregon,Technology,45-59,Medium (50-500),1,55.92,16.78,55.92,1
2014-09,Pennsylvania,Furniture,25-34,Low (<50),1,42.37,8.47,42.37,1
2014-09,Pennsylvania,Furniture,35-44,Low (<50),1,17.47,5.02,17.47,1
2014-09,Pennsylvania,Furniture,35-44,Medium (50-500),2,476.45,-102.01,238.22,1
2014-09,Pennsylvania,Furniture,45-59,Low (<50),1,21.18,4.77,21.18,1
2014-09,Pennsylvania,Furniture,60+,Medium (50-500),1,103.94,16.89,103.94,1
2014-09,Pennsylvania,Office Supplies,25-34,Medium (50-500),1,64.78,-14.58,64.78,1
2014-09,Pennsylvania,Office Supplies,35-44,Low (<50),5,62.83,14.13,12.57,4
2014-09,Pennsylvania,Office Supplies,35-44,Medium (50-500),1,55.44,18.02,55.44,1
2014-09,Pennsylvania,Office Supplies,35-44,Very High (1500+),1,1801.63,-337.81,1801.63,1
2014-09,Pennsylvania,Office Supplies,45-59,Low (<50),4,79.51,9.66,19.88,2
2014-09,Pennsylvania,Office Supplies,45-59,Medium (50-500),1,143.95,14.4,143.95,1
2014-09,Pennsylvania,Office Supplies,60+,Low (<50),1,5.89,-4.12,5.89,1
2014-09,Pennsylvania,Technology,25-34,Low (<50),1,32.38,4.32,32.38,1
2014-09,Pennsylvania,Technology,25-34,Medium (50-500),1,399.54,-559.36,399.54,1
2014-09,Pennsylvania,Technology,35-44,Medium (50-500),3,452.22,17.08,150.74,2
2014-09,Tennessee,Office Supplies,60+,Medium (50-500),1,69.22,11.25,69.22,1
2014-09,Texas,Furniture,25-34,Low (<50),1,9.96,-6.72,9.96,1
2014-09,Texas,Furniture,35-44,Medium (50-500),1,300.53,-97.23,300.53,1
2014-09,Texas,Furniture,45-59,Medium (50-500),2,540.91,-32.67,270.46,2
2014-09,Texas,Furniture,45-59,Very High (1500+),1,1740.06,-24.86,1740.06,1
2014-09,Texas,Furniture,60+,High (500-1500),1,966.7,-13.81,966.7,1
2014-09,Texas,Furniture,60+,Low (<50),1,8.54,-7.48,8.54,1
2014-09,Texas,Office Supplies,25-34,Low (<50),5,56.2,-8.04,11.24,2
2014-09,Texas,Office Supplies,35-44,Low (<50),3,39.78,7.3,13.26,1
2014-09,Texas,Office Supplies,35-44,Medium (50-500),1,51.18,-79.34,51.18,1
2014-09,Texas,Office Supplies,45-59,Low (<50),5,74.46,-3.24,14.89,3
2014-09,Texas,Office Supplies,45-59,Medium (50-500),2,453.91,-512.48,226.95,1
2014-09,Texas,Office Supplies,60+,Low (<50),3,23.96,-3.16,7.99,3
2014-09,Texas,Office Supplies,60+,Medium (50-500),1,182.11,61.46,182.11,1
2014-09,Texas,Technology,25-34,High (500-1500),1,559.71,-121.27,559.71,1
2014-09,Texas,Technology,25-34,Very High (1500+),2,5579.94,-761.99,2789.97,1
2014-09,Texas,Technology,45-59,Low (<50),1,46.69,-2.92,46.69,1
2014-09,Texas,Technology,45-59,Medium (50-500),2,340.75,23.76,170.38,2
2014-09,Texas,Technology,45-59,Very High (1500+),1,8159.95,-1359.99,8159.95,1
2014-09,Virginia,Office Supplies,45-59,Low (<50),1,45.0,21.6,45.0,1
2014-09,Virginia,Office Supplies,60+,Low (<50),1,9.64,4.72,9.64,1
2014-09,Virginia,Technology,45-59,Medium (50-500),1,209.97,90.29,209.97,1
2014-09,Washington,Furniture,18-24,High (500-1500),1,975.92,121.99,975.92,1
2014-09,Washington,Furniture,18-24,Low (<50),1,14.19,5.53,14.19,1
2014-09,Washington,Furniture,60+,Low (<50),2,41.5,16.39,20.75,2
2014-09,Washington,Furniture,60+,Very High (1500+),1,2348.82,399.3,2348.82,1
2014-09,Washington,Office Supplies,18-24,Low (<50),5,90.48,41.73,18.1,2
2014-09,Washington,Office Supplies,18-24,Medium (50-500),2,789.72,110.59,394.86,1
2014-09,Washington,Office Supplies,35-44,High (500-1500),1,807.75,153.47,807.75,1
2014-09,Washington,Office Supplies,35-44,Low (<50),2,53.22,16.63,26.61,2
2014-09,Washington,Office Supplies,35-44,Medium (50-500),1,92.52,24.98,92.52,1
2014-09,Washington,Office Supplies,45-59,Medium (50-500),1,310.12,80.63,310.12,1
2014-09,Washington,Office Supplies,60+,Low (<50),1,30.28,1.21,30.28,1
2014-09,Washington,Office Supplies,60+,Medium (50-500),2,195.17,62.54,97.58,1
2014-09,Washington,Technology,18-24,Medium (50-500),3,462.94,156.94,154.31,1
2014-09,Washington,Technology,35-44,Medium (50-500),1,246.38,27.72,246.38,1
2014-09,Washington,Technology,35-44,Very High (1500+),1,1799.97,701.99,1799.97,1
2014-10,Alabama,Furniture,18-24,High (500-1500),1,545.88,70.96,545.88,1
2014-10,Alabama,Office Supplies,18-24,Medium (50-500),1,275.97,11.04,275.97,1
2014-10,Alabama,Technology,18-24,High (500-1500),1,1394.95,362.69,1394.95,1
2014-10,Arizona,Furniture,45-59,Low (<50),1,46.87,3.52,46.87,1
2014-10,Arizona,Office Supplies,60+,Low (<50),4,42.21,6.23,10.55,1
2014-10,Arizona,Technology,45-59,High (500-1500),1,742.34,83.51,742.34,1
2014-10,Arizona,Technology,60+,Low (<50),1,7.16,-0.09,7.16,1
2014-10,Arizona,Technology,60+,Medium (50-500),2,548.78,127.62,274.39,1
2014-10,Arkansas,Furniture,45-59,Low (<50),1,8.92,3.92,8.92,1
2014-10,Arkansas,Furniture,60+,High (500-1500),1,605.34,145.28,605.34,1
2014-10,Arkansas,Office Supplies,45-59,Low (<50),1,7.31,3.44,7.31,1
2014-10,California,Furniture,18-24,Medium (50-500),1,146.35,-9.15,146.35,1
2014-10,California,Furniture,35-44,Medium (50-500),2,555.92,-51.27,277.96,2
2014-10,California,Furniture,45-59,Medium (50-500),2,265.78,17.35,132.89,1
2014-10,California,Furniture,60+,High (500-1500),1,617.0,-36.29,617.0,1
2014-10,California,Office Supplies,18-24,Low (<50),9,142.71,52.38,15.86,4
2014-10,California,Office Supplies,18-24,Medium (50-500),4,697.41,132.44,174.35,2
2014-10,California,Office Supplies,25-34,Low (<50),1,14.35,5.02,14.35,1
2014-10,California,Office Supplies,35-44,Low (<50),4,110.05,40.9,27.51,4
2014-10,California,Office Supplies,35-44,Medium (50-500),1,144.6,41.93,144.6,1
2014-10,California,Office Supplies,45-59,Low (<50),4,87.1,29.44,21.78,3
2014-10,California,Office Supplies,45-59,Medium (50-500),1,95.65,31.09,95.65,1
2014-10,California,Office Supplies,60+,Low (<50),2,13.46,2.31,6.73,1
2014-10,California,Office Supplies,60+,Medium (50-500),2,622.14,52.6,311.07,1
2014-10,California,Technology,18-24,Medium (50-500),2,369.49,59.62,184.74,2
2014-10,California,Technology,25-34,Low (<50),1,9.09,1.91,9.09,1
2014-10,California,Technology,25-34,Medium (50-500),1,179.97,86.39,179.97,1
2014-10,California,Technology,35-44,Low (<50),1,15.99,-3.0,15.99,1
2014-10,California,Technology,35-44,Medium (50-500),2,173.56,43.27,86.78,2
2014-10,California,Technology,60+,Medium (50-500),1,321.55,20.1,321.55,1
2014-10,Florida,Furniture,60+,Low (<50),1,15.38,4.04,15.38,1
2014-10,Florida,Office Supplies,45-59,Low (<50),1,10.37,3.63,10.37,1
2014-10,Illinois,Furniture,35-44,Medium (50-500),1,258.28,-70.1,258.28,1
2014-10,Illinois,Office Supplies,25-34,Low (<50),1,22.24,2.5,22.24,1
2014-10,Illinois,Office Supplies,45-59,High (500-1500),1,505.32,31.58,505.32,1
2014-10,Illinois,Office Supplies,45-59,Low (<50),3,36.91,-5.58,12.3,1
2014-10,Illinois,Office Supplies,60+,Low (<50),2,22.08,2.08,11.04,1
2014-10,Illinois,Office Supplies,60+,Medium (50-500),1,322.19,100.68,322.19,1
2014-10,Illinois,Technology,45-59,Medium (50-500),1,319.97,71.99,319.97,1
2014-10,Illinois,Technology,60+,Very High (1500+),1,2735.95,341.99,2735.95,1
2014-10,Indiana,Office Supplies,60+,Medium (50-500),2,462.22,89.75,231.11,2
2014-10,Indiana,Technology,60+,Low (<50),1,1.98,0.89,1.98,1
2014-10,Kansas,Technology,60+,Medium (50-500),1,257.98,74.81,257.98,1
2014-10,Louisiana,Furniture,45-59,Medium (50-500),1,129.92,10.39,129.92,1
2014-10,Massachusetts,Furniture,60+,Very High (1500+),1,1628.82,260.61,1628.82,1
2014-10,Massachusetts,Office Supplies,60+,Medium (50-500),1,79.45,22.25,79.45,1
2014-10,Massachusetts,Technology,60+,Medium (50-500),1,177.0,30.09,177.0,1
2014-10,Michigan,Office Supplies,45-59,Medium (50-500),1,211.96,8.48,211.96,1
2014-10,Nebraska,Office Supplies,25-34,Low (<50),1,15.36,7.68,15.36,1
2014-10,Nevada,Office Supplies,45-59,Low (<50),1,4.71,0.0,4.71,1
2014-10,New Hampshire,Office Supplies,25-34,Low (<50),1,22.92,11.0,22.92,1
2014-10,New Hampshire,Office Supplies,25-34,Medium (50-500),1,269.9,16.19,269.9,1
2014-10,New Jersey,Furniture,25-34,Medium (50-500),1,245.98,27.06,245.98,1
2014-10,New Jersey,Office Supplies,25-34,Low (<50),1,18.94,9.47,18.94,1
2014-10,New Mexico,Office Supplies,18-24,Medium (50-500),1,255.85,112.57,255.85,1
2014-10,New York,Furniture,60+,High (500-1500),1,589.41,-6.55,589.41,1
2014-10,New York,Office Supplies,18-24,Low (<50),1,7.75,2.81,7.75,1
2014-10,New York,Office Supplies,45-59,Medium (50-500),1,123.92,55.76,123.92,1
2014-10,North Carolina,Office Supplies,35-44,Low (<50),1,6.19,0.46,6.19,1
2014-10,North Carolina,Office Supplies,35-44,Medium (50-500),1,61.57,4.62,61.57,1
2014-10,North Carolina,Office Supplies,45-59,Low (<50),2,22.32,7.66,11.16,1
2014-10,North Carolina,Office Supplies,45-59,Medium (50-500),1,88.77,31.07,88.77,1
2014-10,North Carolina,Technology,35-44,Low (<50),1,23.47,4.99,23.47,1
2014-10,Ohio,Furniture,18-24,Medium (50-500),1,93.89,12.91,93.89,1
2014-10,Ohio,Furniture,45-59,Medium (50-500),1,409.59,-122.88,409.59,1
2014-10,Ohio,Furniture,60+,High (500-1500),1,1421.66,-734.53,1421.66,1
2014-10,Ohio,Furniture,60+,Medium (50-500),1,183.37,-7.86,183.37,1
2014-10,Ohio,Office Supplies,18-24,Low (<50),1,18.26,-13.39,18.26,1
2014-10,Ohio,Office Supplies,25-34,Low (<50),1,14.48,4.89,14.48,1
2014-10,Ohio,Office Supplies,25-34,Medium (50-500),1,55.98,4.2,55.98,1
2014-10,Ohio,Office Supplies,45-59,Medium (50-500),1,121.79,13.7,121.79,1
2014-10,Ohio,Office Supplies,60+,Low (<50),1,7.97,2.89,7.97,1
2014-10,Ohio,Office Supplies,60+,Medium (50-500),1,91.92,11.49,91.92,1
2014-10,Ohio,Technology,18-24,Medium (50-500),1,101.99,-71.4,101.99,1
2014-10,Ohio,Technology,25-34,Medium (50-500),1,142.49,-3.56,142.49,1
2014-10,Pennsylvania,Furniture,45-59,Medium (50-500),1,129.92,21.11,129.92,1
2014-10,Pennsylvania,Office Supplies,35-44,Medium (50-500),2,483.34,78.55,241.67,1
2014-10,Pennsylvania,Office Supplies,45-59,Low (<50),1,13.7,-9.59,13.7,1
2014-10,Pennsylvania,Office Supplies,60+,Low (<50),1,10.05,3.14,10.05,1
2014-10,Pennsylvania,Office Supplies,60+,Medium (50-500),3,323.34,-28.99,107.78,2
2014-10,Pennsylvania,Technology,45-59,Low (<50),1,40.78,0.51,40.78,1
2014-10,Rhode Island,Furniture,45-59,Low (<50),2,32.43,12.06,16.22,1
2014-10,Rhode Island,Furniture,45-59,Medium (50-500),1,385.69,-60.61,385.69,1
2014-10,Rhode Island,Furniture,45-59,Very High (1500+),1,1604.9,481.47,1604.9,1
2014-10,Rhode Island,Office Supplies,45-59,Low (<50),3,93.49,39.17,31.16,1
2014-10,South Carolina,Office Supplies,60+,Low (<50),1,11.85,3.79,11.85,1
2014-10,Tennessee,Furniture,35-44,Medium (50-500),1,328.59,-147.87,328.59,1
2014-10,Tennessee,Office Supplies,35-44,Medium (50-500),1,98.35,-24.59,98.35,1
2014-10,Texas,Furniture,35-44,Low (<50),1,5.31,-1.59,5.31,1
2014-10,Texas,Furniture,45-59,Low (<50),1,31.78,-19.07,31.78,1
2014-10,Texas,Office Supplies,18-24,Medium (50-500),1,107.44,10.74,107.44,1
2014-10,Texas,Office Supplies,45-59,Low (<50),7,49.79,-42.2,7.11,3
2014-10,Texas,Office Supplies,60+,Low (<50),1,3.16,-8.53,3.16,1
2014-10,Texas,Technology,45-59,High (500-1500),2,1475.9,138.14,737.95,1
2014-10,Texas,Technology,45-59,Medium (50-500),1,119.98,-18.0,119.98,1
2014-10,Texas,Technology,60+,Very High (1500+),1,1999.96,624.99,1999.96,1
2014-10,Virginia,Furniture,25-34,High (500-1500),1,591.32,112.35,591.32,1
2014-10,Virginia,Office Supplies,25-34,Low (<50),3,54.42,25.49,18.14,2
2014-10,Virginia,Office Supplies,25-34,Medium (50-500),2,509.9,16.04,254.95,2
2014-10,Virginia,Technology,25-34,Low (<50),1,22.96,4.36,22.96,1
2014-10,Washington,Furniture,60+,High (500-1500),1,1298.55,311.65,1298.55,1
2014-10,Washington,Furniture,60+,Medium (50-500),2,127.39,22.24,63.7,2
2014-10,Washington,Office Supplies,60+,Low (<50),3,42.1,17.44,14.03,3
2014-10,Washington,Office Supplies,60+,Medium (50-500),2,275.88,89.92,137.94,2
2014-10,Washington,Technology,60+,Low (<50),1,25.78,2.58,25.78,1
2014-10,Washington,Technology,60+,Medium (50-500),2,728.96,97.05,364.48,2
2014-11,Alabama,Office Supplies,45-59,Low (<50),1,14.67,3.96,14.67,1
2014-11,Arizona,Office Supplies,60+,Low (<50),2,71.46,12.4,35.73,2
2014-11,Arizona,Technology,60+,Medium (50-500),1,102.24,-16.61,102.24,1
2014-11,California,Furniture,18-24,High (500-1500),1,725.34,54.4,725.34,1
2014-11,California,Furniture,25-34,Low (<50),1,20.04,8.82,20.04,1
2014-11,California,Furniture,35-44,High (500-1500),1,573.73,-64.54,573.73,1
2014-11,California,Furniture,35-44,Low (<50),1,10.11,3.24,10.11,1
2014-11,California,Furniture,35-44,Medium (50-500),4,801.07,44.88,200.27,4
2014-11,California,Furniture,45-59,High (500-1500),1,629.06,31.45,629.06,1
2014-11,California,Furniture,45-59,Low (<50),2,63.76,21.67,31.88,2
2014-11,California,Furniture,45-59,Medium (50-500),1,53.2,14.9,53.2,1
2014-11,California,Furniture,60+,High (500-1500),1,603.92,-67.94,603.92,1
2014-11,California,Furniture,60+,Low (<50),1,35.34,13.43,35.34,1
2014-11,California,Furniture,60+,Medium (50-500),3,905.42,30.27,301.81,3
2014-11,California,Office Supplies,18-24,Low (<50),4,49.64,23.23,12.41,4
2014-11,California,Office Supplies,18-24,Medium (50-500),1,123.14,46.18,123.14,1
2014-11,California,Office Supplies,25-34,Low (<50),1,10.95,3.28,10.95,1
2014-11,California,Office Supplies,25-34,Medium (50-500),1,362.92,105.25,362.92,1
2014-11,California,Office Supplies,35-44,High (500-1500),1,733.95,352.3,733.95,1
2014-11,California,Office Supplies,35-44,Low (<50),5,127.64,54.71,25.53,3
2014-11,California,Office Supplies,35-44,Medium (50-500),6,1177.29,185.52,196.22,3
2014-11,California,Office Supplies,45-59,Low (<50),6,96.0,42.67,16.0,6
2014-11,California,Office Supplies,45-59,Medium (50-500),5,642.84,241.22,128.57,5
2014-11,California,Office Supplies,60+,Low (<50),10,224.83,78.89,22.48,6
2014-11,California,Technology,18-24,High (500-1500),2,1115.84,119.23,557.92,2
2014-11,California,Technology,18-24,Medium (50-500),1,94.99,28.5,94.99,1
2014-11,California,Technology,25-34,Low (<50),1,46.38,5.22,46.38,1
2014-11,California,Technology,35-44,High (500-1500),3,2142.78,301.4,714.26,3
2014-11,California,Technology,35-44,Medium (50-500),3,627.92,130.0,209.31,3
2014-11,California,Technology,45-59,High (500-1500),2,1177.46,117.75,588.73,2
2014-11,California,Technology,45-59,Low (<50),1,10.99,4.29,10.99,1
2014-11,California,Technology,60+,Low (<50),1,29.99,6.3,29.99,1
2014-11,California,Technology,60+,Medium (50-500),2,473.51,60.0,236.75,2
2014-11,Colorado,Furniture,35-44,Medium (50-500),1,145.98,-99.27,145.98,1
2014-11,Colorado,Furniture,45-59,High (500-1500),1,603.92,75.49,603.92,1
2014-11,Colorado,Office Supplies,35-44,Low (<50),2,78.98,16.85,39.49,2
2014-11,Colorado,Office Supplies,45-59,Low (<50),1,3.39,0.81,3.39,1
2014-11,Colorado,Technology,35-44,Very High (1500+),1,1983.97,248.0,1983.97,1
2014-11,Colorado,Technology,45-59,High (500-1500),1,559.98,56.0,559.98,1
2014-11,Connecticut,Office Supplies,18-24,Low (<50),1,11.64,3.38,11.64,1
2014-11,Connecticut,Office Supplies,60+,Low (<50),1,43.8,21.02,43.8,1
2014-11,Connecticut,Technology,60+,High (500-1500),1,832.93,233.22,832.93,1
2014-11,Delaware,Furniture,45-59,Medium (50-500),1,124.41,14.93,124.41,1
2014-11,Delaware,Furniture,60+,High (500-1500),1,1025.88,235.95,1025.88,1
2014-11,Delaware,Office Supplies,45-59,Medium (50-500),1,57.75,26.56,57.75,1
2014-11,Delaware,Office Supplies,45-59,Very High (1500+),1,2934.33,792.27,2934.33,1
2014-11,Delaware,Office Supplies,60+,Low (<50),2,32.46,15.38,16.23,1
2014-11,Delaware,Office Supplies,60+,Medium (50-500),1,213.08,102.28,213.08,1
2014-11,Florida,Office Supplies,45-59,Low (<50),1,6.64,-4.43,6.64,1
2014-11,Florida,Technology,60+,High (500-1500),1,799.92,239.98,799.92,1
2014-11,Georgia,Office Supplies,18-24,Low (<50),1,43.68,20.97,43.68,1
2014-11,Georgia,Office Supplies,35-44,High (500-1500),1,675.12,290.3,675.12,1
2014-11,Georgia,Office Supplies,35-44,Low (<50),2,27.59,13.29,13.8,1
2014-11,Georgia,Office Supplies,35-44,Medium (50-500),1,319.9,156.75,319.9,1
2014-11,Georgia,Office Supplies,45-59,Low (<50),1,9.96,4.88,9.96,1
2014-11,Illinois,Furniture,25-34,High (500-1500),1,797.94,-57.0,797.94,1
2014-11,Illinois,Furniture,25-34,Low (<50),2,48.28,-9.03,24.14,2
2014-11,Illinois,Furniture,35-44,Low (<50),1,8.54,-7.48,8.54,1
2014-11,Illinois,Furniture,35-44,Medium (50-500),2,716.22,-205.55,358.11,1
2014-11,Illinois,Office Supplies,25-34,High (500-1500),1,646.2,-8.08,646.2,1
2014-11,Illinois,Office Supplies,25-34,Low (<50),1,9.98,-16.47,9.98,1
2014-11,Illinois,Office Supplies,35-44,Low (<50),2,18.59,0.18,9.29,2
2014-11,Illinois,Office Supplies,35-44,Medium (50-500),1,381.72,-66.8,381.72,1
2014-11,Illinois,Office Supplies,60+,Low (<50),2,27.1,-19.95,13.55,2
2014-11,Indiana,Office Supplies,35-44,Low (<50),2,60.8,28.52,30.4,1
2014-11,Indiana,Office Supplies,35-44,Medium (50-500),2,247.8,79.19,123.9,1
2014-11,Indiana,Office Supplies,60+,Medium (50-500),1,64.02,29.45,64.02,1
2014-11,Kansas,Technology,35-44,Medium (50-500),1,273.96,10.96,273.96,1
2014-11,Kentucky,Office Supplies,25-34,High (500-1500),1,629.1,301.97,629.1,1
2014-11,Kentucky,Office Supplies,25-34,Low (<50),1,5.46,1.47,5.46,1
2014-11,Kentucky,Office Supplies,25-34,Medium (50-500),1,193.95,9.7,193.95,1
2014-11,Kentucky,Office Supplies,45-59,Low (<50),1,5.64,1.64,5.64,1
2014-11,Kentucky,Office Supplies,45-59,Medium (50-500),1,69.52,19.47,69.52,1
2014-11,Kentucky,Technology,25-34,Low (<50),1,36.99,9.99,36.99,1
2014-11,Louisiana,Technology,45-59,High (500-1500),1,503.96,131.03,503.96,1
2014-11,Louisiana,Technology,45-59,Low (<50),1,29.0,7.25,29.0,1
2014-11,Louisiana,Technology,45-59,Medium (50-500),1,149.95,41.99,149.95,1
2014-11,Michigan,Furniture,35-44,High (500-1500),1,563.94,112.79,563.94,1
2014-11,Michigan,Office Supplies,25-34,Low (<50),1,15.96,7.98,15.96,1
2014-11,Michigan,Office Supplies,25-34,Medium (50-500),3,492.66,211.1,164.22,1
2014-11,Michigan,Office Supplies,35-44,High (500-1500),1,535.41,160.62,535.41,1
2014-11,Michigan,Office Supplies,35-44,Low (<50),3,32.58,14.43,10.86,1
2014-11,Michigan,Office Supplies,35-44,Medium (50-500),1,62.94,11.96,62.94,1
2014-11,Michigan,Office Supplies,45-59,Low (<50),3,38.91,18.75,12.97,2
2014-11,Minnesota,Furniture,45-59,Medium (50-500),1,479.9,81.58,479.9,1
2014-11,Minnesota,Office Supplies,45-59,Medium (50-500),2,288.31,74.29,144.16,2
2014-11,Minnesota,Technology,45-59,Medium (50-500),1,281.97,78.95,281.97,1
2014-11,Missouri,Technology,18-24,Medium (50-500),1,111.79,43.6,111.79,1
2014-11,Nebraska,Technology,45-59,Medium (50-500),1,89.97,18.89,89.97,1
2014-11,New Jersey,Office Supplies,25-34,Low (<50),1,5.76,2.82,5.76,1
2014-11,New Jersey,Office Supplies,25-34,Medium (50-500),1,76.12,22.07,76.12,1
2014-11,New York,Furniture,18-24,Medium (50-500),1,89.34,24.12,89.34,1
2014-11,New York,Furniture,25-34,Low (<50),1,31.68,9.82,31.68,1
2014-11,New York,Furniture,25-34,Medium (50-500),1,135.88,24.16,135.88,1
2014-11,New York,Furniture,35-44,Very High (1500+),1,4007.84,-50.1,4007.84,1
2014-11,New York,Furniture,45-59,Medium (50-500),3,325.68,76.08,108.56,3
2014-11,New York,Furniture,60+,Medium (50-500),1,275.95,-37.94,275.95,1
2014-11,New York,Office Supplies,18-24,Low (<50),3,91.61,37.22,30.54,2
2014-11,New York,Office Supplies,25-34,High (500-1500),1,533.94,154.84,533.94,1
2014-11,New York,Office Supplies,25-34,Low (<50),4,85.09,29.16,21.27,2
2014-11,New York,Office Supplies,25-34,Medium (50-500),2,261.09,127.0,130.55,2
2014-11,New York,Office Supplies,35-44,Low (<50),6,131.03,59.64,21.84,3
2014-11,New York,Office Supplies,35-44,Medium (50-500),1,223.92,109.72,223.92,1
2014-11,New York,Office Supplies,35-44,Very High (1500+),1,2152.78,726.56,2152.78,1
2014-11,New York,Office Supplies,45-59,Low (<50),4,81.9,39.17,20.48,3
2014-11,New York,Office Supplies,45-59,Medium (50-500),2,114.34,48.14,57.17,2
2014-11,New York,Office Supplies,60+,High (500-1500),1,1117.92,55.9,1117.92,1
2014-11,New York,Office Supplies,60+,Low (<50),2,42.31,17.82,21.15,2
2014-11,New York,Technology,18-24,High (500-1500),1,783.96,219.51,783.96,1
2014-11,New York,Technology,18-24,Very High (1500+),1,4548.81,1228.18,4548.81,1
2014-11,New York,Technology,25-34,Medium (50-500),3,915.9,288.01,305.3,2
2014-11,New York,Technology,25-34,Very High (1500+),1,3991.98,1995.99,3991.98,1
2014-11,New York,Technology,35-44,High (500-1500),1,833.94,216.82,833.94,1
2014-11,North Carolina,Furniture,25-34,High (500-1500),1,945.04,-299.26,945.04,1
2014-11,North Carolina,Furniture,25-34,Medium (50-500),1,410.35,-51.29,410.35,1
2014-11,North Carolina,Office Supplies,18-24,Low (<50),3,65.6,17.85,21.87,1
2014-11,North Carolina,Office Supplies,25-34,Low (<50),3,48.16,-11.23,16.05,2
2014-11,North Carolina,Office Supplies,45-59,Low (<50),1,8.38,2.72,8.38,1
2014-11,North Carolina,Office Supplies,45-59,Medium (50-500),1,58.24,5.1,58.24,1
2014-11,North Carolina,Technology,18-24,High (500-1500),1,978.84,110.12,978.84,1
2014-11,Ohio,Furniture,18-24,Low (<50),1,35.17,9.67,35.17,1
2014-11,Ohio,Furniture,35-44,High (500-1500),1,611.06,-34.92,611.06,1
2014-11,Ohio,Furniture,60+,Medium (50-500),1,68.7,16.32,68.7,1
2014-11,Ohio,Office Supplies,18-24,Low (<50),1,19.24,-13.47,19.24,1
2014-11,Ohio,Office Supplies,35-44,Low (<50),1,5.74,-4.59,5.74,1
2014-11,Ohio,Office Supplies,45-59,Low (<50),1,2.62,0.43,2.62,1
2014-11,Ohio,Office Supplies,60+,Low (<50),3,37.37,-29.21,12.46,2
2014-11,Ohio,Technology,18-24,High (500-1500),1,539.96,-107.99,539.96,1
2014-11,Ohio,Technology,18-24,Medium (50-500),1,50.23,-10.05,50.23,1
2014-11,Ohio,Technology,18-24,Very High (1500+),1,1502.38,-250.4,1502.38,1
2014-11,Ohio,Technology,35-44,High (500-1500),1,1049.97,-209.99,1049.97,1
